Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/22/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4531.423662,5112.745342,5740.606899,6118.515295,6127.731345,6137.281242,6124.782798,6237.364718,6328.218972,6756.762852,7559.295954,7867.537015,8139.930023,8799.769018,9171.967862,9383.184771,9823.536989,10123.34398,9878.206974,9628.795107,9623.86868,9592.130831,9113.474853,9314.225009,9246.723753,9317.196836,9161.625047,8873.754025,9008.736618,9409.597799,8124.983932,9626.573571
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34870.74775,34955.55828,35990.57811,37749.20837,38518.41744,40763.38661,42317.92417,44753.95873,46678.6018,48664.53995,53921.77368,58484.1524,58138.39981,60908.03971,63578.19228,66239.46679,71656.72358,75627.24753,75193.34639,71022.30785,70627.82219,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83368.62255,85129.07046,80286.44209,88185.46587
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.728914,2446.015661,2491.526708,2606.575801,2732.442114,2865.227046,2988.572101,3132.592373,3267.226137,3267.432226,3364.024366,3436.37487,3514.591376,3617.40341,3802.810904,4025.109046,4273.038123,4509.210554,4794.6037,4902.610577,5079.382721,5363.987903,5814.070135,6500.876807,6920.778861,6992.127581,7345.826843,8244.933445,8668.553853,8888.701149,8100.529346,8846.081965
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617.944703,6793.807941,6797.153941,7183.895866,7644.218602,8008.05893,8208.219593,8504.681479,8503.697887,8541.710725,8994.743062,9202.876484,9510.823883,9693.555482,10407.83935,10954.86026,11614.49854,12522.51594,13281.07439,13222.74888,14254.51977,14989.15778,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14968.85475,15304.9077,14789.87856,16031.08617
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9647.546397,9565.103215,9197.459609,9461.670749,9831.026257,10216.25117,10796.82338,11484.77708,12027.96711,12213.82783,13022.00962,12965.14681,13217.20134,13717.52169,14231.07062,15202.8526,16571.63266,17307.87206,17675.1852,16824.55708,16568.36896,16749.03935,15726.2358,15747.13709,15575.95073,15947.42152,16370.74562,16198.96216,16386.19132,16628.16857,14561.85925,15110.95733
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55168.25088,57099.02565,59512.9402,59542.96976,61175.54851,63693.09165,65179.13607,63863.7108,62830.2713,64276.50059,66212.60982,68169.50228,70522.90358,72627.3339,73618.9315,74921.41361,79312.33331,80302.21993,79040.28831,76993.47462,78784.82722,82300.65605,86588.60952,82305.27625,80027.9853,61572.6217,55477.4694,60173.05113,61075.28206,64016.75443,64977.30631,66055.2483
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.700363,1499.642142,1668.35152,1825.783424,1955.521444,2112.330851,2228.645322,2347.969878,2468.427024,2637.516976,2710.776229,2923.476871,3211.222078,3444.105914,3660.445001,3968.933542,4313.171394,5178.813183,5466.317807,5805.761962,6504.347934,7090.948277,7697.506415,7785.214064,8462.798599,9303.945982,10275.16059,10986.88814,11502.15678,12295.18374,11124.66713,11983.31697
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5817.927639,6280.197282,6424.048007,6511.805284,6702.913542,7134.36251,7501.264594,8076.126212,8023.186322,8733.650022,8922.185347,8964.661182,9478.370605,9936.891416,10298.09379,10907.14135,11957.32781,12739.03914,13136.16904,11119.57606,12139.49853,12976.26068,12069.46877,12833.27836,14338.57408,13420.5066,15277.04232,14656.77299,15319.52686,15756.04378,14287.51059,16304.15336
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.1773245,632.0159695,585.9525806,582.8728009,605.1552947,644.3679787,613.6512745,639.2801578,658.4702554,672.8071176,652.3937607,681.3600112,701.3401453,660.417846,703.377201,715.7262427,757.6183289,798.8360794,813.8320694,870.4223047,902.7815842,945.5931285,1024.247563,683.9656325,670.1038234,733.7495807,787.4711684,839.6000095,875.065113,898.1373028,894.1933731,920.0784701
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25258.86056,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,49299.21177,46572.13743,52085.03569
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7093.256708,6647.389348,6688.585887,6957.1392,7396.407338,7991.446929,8399.755614,8706.253246,9097.125034,9396.486924,10014.7202,10798.42393,11630.61706,12340.62879,13483.78828,14312.96846,15921.43296,17760.14073,19674.11506,19701.38371,20819.32034,22301.58452,23099.34969,23857.06571,24923.39722,26130.75472,27751.48339,29827.61917,31999.11783,33785.05843,33936.61927,37291.42706
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28470.35894,28801.3749,29121.99213,29504.79707,30275.19147,30851.80041,31534.09607,32771.05937,33905.12738,34818.07604,36772.69462,37896.69696,38814.37174,38840.88188,40336.40896,41749.21645,46502.92827,51208.09883,54096.80786,53354.00464,54858.44808,57987.50203,59933.59868,62225.08727,64103.01045,66020.20434,68105.15498,69103.57026,71660.20684,72033.92944,71731.96058,77273.60724
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480.975088,4920.366155,5588.406945,6086.405365,6537.968102,7321.954254,8038.272054,8688.994931,9016.158317,9002.174118,9579.822442,10032.57985,10396.31703,10957.24862,11792.4248,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25206.40166,24849.70664,28684.78027
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.4192074,1093.566229,1262.025483,1454.491592,1660.34688,1860.525063,2060.8681,2266.728838,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730274,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779603,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15495.54842,16652.0988,17189.28179,19338.23408
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.253537,2744.91063,2698.279466,2657.932273,2640.380552,2787.38002,2952.262367,3180.317303,3242.547529,3227.520171,3202.951742,3121.727848,3007.357263,2852.020434,2952.041262,3005.998332,3116.371153,3166.671537,3310.47535,3379.412564,3577.706982,3384.930979,3483.689789,3801.616471,4254.230896,4579.814769,4650.670064,4750.936451,5067.861554,5343.001606,5377.785528,5850.051925
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.180376,1943.942149,1870.869795,1712.721313,1731.904671,1769.433731,1827.475086,1892.156976,1951.600648,2014.298885,2083.234248,2164.670413,2236.100696,2339.840649,2502.379084,2567.223587,2673.563213,2786.085597,2838.695078,2848.329956,2882.7507,2957.163456,3022.358011,3194.162032,3369.32489,3437.789826,3559.13512,3691.094724,3821.671109,3915.051508,3866.254472,4065.31161
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.096959,776.8816999,690.0514049,591.9798276,554.0108303,546.246191,540.1624425,510.4731031,495.9580972,467.8942276,432.6993394,420.2721766,426.1746285,445.5148537,473.9589299,502.8971999,528.8716998,558.9001538,586.0287494,587.5528153,616.5323991,650.4366032,650.9215896,731.9328213,824.4124376,877.6808352,932.4051652,1023.539833,1073.289169,1104.624423,1101.250402,1179.499142
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429.411702,3530.7864,3605.204166,3551.369266,3331.574917,3442.723743,3559.743487,3525.355378,3620.050855,3482.032021,3687.232246,3769.265332,3910.797434,3910.654111,4016.429446,4305.869938,4616.63511,4267.756861,4473.227068,4827.907091,5152.51779,5204.000834,6062.822776,5810.922383,5681.772202,4448.916586,3687.580949,4073.926085,3876.869795,3851.010258,3570.016965,3553.287985
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083.670494,5252.637023,5479.891585,5796.490513,6143.693277,6475.079252,6607.499178,6829.085078,6825.870768,6520.964545,6753.464794,6911.727494,7085.62081,7398.183502,7888.450084,8412.996829,9135.678975,9891.37577,10291.19999,10357.33409,10830.19512,11694.72661,12095.6485,12798.66319,13390.03195,13378.67515,13971.33959,14334.91461,15161.31797,15720.5742,14854.52172,16819.17629
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.473758,1442.888581,1563.789745,1612.221572,1526.289549,1580.235729,1554.552374,1610.090098,1614.172886,1635.195121,1818.022052,1864.204665,1898.09721,1937.861957,1989.610063,2069.178634,2146.123234,2177.670839,2261.348023,2301.971286,2367.778629,2464.354227,2655.734875,2795.243466,2887.065504,2884.774852,3053.302585,3240.17917,3373.545867,3429.531083,3398.849344,3546.843502
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.8380436,1009.841437,1118.147224,1213.196337,1440.373796,1639.857146,1816.8477,2007.662497,2234.783276,2467.84347,2829.98839,2909.394063,3062.092661,3206.463254,3579.856782,3897.318942,4285.654971,5010.466562,5386.383234,5297.007051,5381.12627,5642.637657,5506.923861,5490.367069,5455.468333,5696.665827,6014.305554,6320.342096,6690.56938,7123.550529,6084.456051,6716.956331
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4962.082606,5114.676672,5570.652996,5957.793195,6207.287406,6446.063024,6501.022528,6820.10241,7231.77471,7486.053004,7796.430885,8099.7124,8363.810725,8756.921955,9248.126628,9772.464327,10658.27763,11680.5728,12297.21336,12103.38185,12740.34097,13410.35454,14174.6021,14851.13544,15905.14794,16925.17941,18898.07522,20168.22048,21144.40977,22467.87549,22117.92711,23319.50228
